Event Time,Effect Time,Ignition Event Time,NAME,Position,Part Number,Description,Module,Socket,Cue
00:00.0,00:00.4,0,690 12s Double Timerain Crackle,Board 11,690 12s Double Timerain Crackle,10 Shot Popcorn Crackle Chrys Cake,2,3,1
00:00.0,00:00.0,0,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 6,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,1,2,11
00:01.0,00:04.0,1.024,GM436 27shot RWB Peony,Board 1,GM436 27shot RWB Peony,27 Shot Red White Blue Peony Cake W Shape,0,1,5
00:21.2,00:21.2,21.224,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 6,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,1,2,12
00:28.4,00:31.4,28.383,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,6,9
00:31.4,00:34.4,31.416,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,6,10
00:39.1,00:39.1,39.093,TM103,Board 3,TM103,225 Shot Varg Comet To Tourbillion Cake,0,3,8
00:39.1,00:39.1,39.093,TM103,Board 8,TM103,225 Shot Varg Comet To Tourbillion Cake,2,0,7
00:52.3,00:55.3,52.254,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,6,8
00:53.5,00:56.6,53.546,GM436 27shot RWB Peony,Board 10,GM436 27shot RWB Peony,27 Shot Red White Blue Peony Cake W Shape,2,2,1
01:19.8,01:22.8,79.755,MS498 12s Finale Box Quick Crackle,Board 3,MS498 12s Finale Box Quick Crackle,12 Shot Crackling Gold Peony Cake,0,3,0
01:19.8,01:22.8,79.755,MS498 12s Finale Box Quick Crackle,Board 9,MS498 12s Finale Box Quick Crackle,12 Shot Crackling Gold Peony Cake,2,1,2
01:25.7,01:25.7,85.689,TM102,Board 9,TM102,100 Shot Red To Blue To White Comet Cake Z Shape,2,1,5
01:53.3,01:56.3,113.309,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,6,11
01:53.4,01:53.4,113.351,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 5,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,1,1,8
01:56.0,01:59.0,115.966,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,6,15
01:58.6,02:01.6,118.623,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,6,12
02:01.3,02:04.3,121.28,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,0
02:03.9,02:07.0,123.938,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,6,13
02:06.6,02:09.6,126.595,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,1
02:09.3,02:12.3,129.252,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,6,14
02:11.9,02:14.9,131.909,GM428,Board 6,GM428,36 Shot White Peony Cake,1,2,5
02:16.3,02:16.3,136.328,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 4,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,1,0,8
02:24.2,02:27.3,144.243,GM585A,Board 4,GM585A,30 Shot Gold Mine To Brocade Crown Cake Z Shape,1,0,6
02:33.1,02:35.9,153.114,GM484,Board 10,GM484,12 Shot Red & White & Blue Peony Cake,2,2,3
02:43.9,02:47.0,163.945,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,9
02:46.6,02:49.6,166.612,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,12
02:49.3,02:52.3,169.278,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,10
02:51.9,02:55.0,171.945,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,8
02:54.6,02:57.6,174.612,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,11
02:57.3,03:00.3,177.278,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,7
02:59.9,03:03.0,179.945,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,6
03:33.9,03:37.4,213.885,Sailor's Nightmare,Board 11,Sailor's Nightmare,9 Shot Green Blue Red Yellow Peony w/ Falling Leaves Center Cake,2,3,9
04:04.0,04:07.0,243.98,GM429,Board 0,GM429,36 Shot Blue Peony Cake,0,0,3
04:23.3,04:26.3,263.315,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,2,6
04:24.0,04:27.0,264.012,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,1,1
04:25.1,04:28.1,265.12,Mortar Gold Coconut,32 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,1,2
04:28.6,04:28.6,268.624,TM502,Board 7,TM502,49 Shot Silver Comet To Time Rain Crackling Cake Fan,1,3,5
04:30.5,04:30.5,270.53,203 Green Crossette sweep,Board 7,203 Green Crossette sweep,,1,3,8
04:50.7,04:53.7,290.698,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,1
04:54.2,04:57.0,294.172,TM113,Board 7,TM113,81 Shot Coconut w/ Varg Pistil Cake Z Shape,1,3,2
05:18.5,05:21.5,318.517,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,2
05:20.5,05:23.5,320.517,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,3
05:22.5,05:25.5,322.517,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,4
