Description,Receiver,Socket,Cue,Time (s)
49 Shot Red To Green To Blue Crossette Cake,2,1,3,1.599
49 Shot Red To Green To Blue Crossette Cake,3,1,11,3.478
49 Shot Red To Green To Blue Crossette Cake,1,1,10,5.024
16 Shot Green Comet w/ Tail Cake,3,1,6,10.369
16 Shot Green Comet w/ Tail Cake,4,0,8,10.583
16 Shot Green Comet w/ Tail Cake,0,0,2,10.798
16 Shot Green Comet w/ Tail Cake,0,2,8,11.012
16 Shot Green Comet w/ Tail Cake,4,2,8,11.226
16 Shot Green Comet w/ Tail Cake,2,0,5,11.44
16 Shot Green Comet w/ Tail Cake,1,1,4,11.655
16 Shot Green Comet w/ Tail Cake,2,2,10,11.869
20 Shot Gold Waterfall Cake,1,2,4,33.031
20 Shot Gold Waterfall Cake,3,0,8,33.031
20 Shot Gold Waterfall Cake,1,0,6,34.412
20 Shot Gold Waterfall Cake,3,2,5,34.412
182 Shot Comet Fan Cake Z Shape,0,1,9,47.966
182 Shot Comet Fan Cake Z Shape,4,1,3,47.966
130 Shot Z Shape Rising Red Glittering Comet Cake,2,1,8,81.75
21 Shot Crackling Palm Cake,0,2,7,104.283
21 Shot Crackling Palm Cake,4,0,11,106.4
,0,1,15,107.303
,4,1,15,107.303
25 Shot Z Shape Silver Strobing Waterfall Cake,1,0,11,151.974
silver strobe sky mine,3,2,2,154.424
,2,1,15,155.955
15 Shot Green To Blue To Red Cake Fan,2,0,14,167.1
15 Shot Gold Comet w/ Blue Mine Fan Cake,2,1,13,176.652
15 Shot Green To Blue To Red Cake Fan,2,2,14,178.421
12 Shot Crackling Gold Peony Cake,2,2,2,178.935
Blue Comet,1,3,11,180.196
Blue Comet,1,3,12,180.196
Blue Comet,1,3,13,180.196
Blue Comet,1,3,14,180.196
Blue Comet,1,3,15,180.196
Blue Comet,1,4,0,180.196
Blue Comet,1,4,1,180.196
Blue Comet,3,4,2,180.196
Blue Comet,3,4,3,180.196
Blue Comet,3,4,4,180.196
Blue Comet,3,4,5,180.196
Blue Comet,3,4,6,180.196
Blue Comet,3,4,7,180.196
Blue Comet,3,4,8,180.196
90 Shot Z Shape Multi Color Falling Leaves Cake,2,0,12,189.968
90 Shot Z Shape Multi Color Falling Leaves Cake,2,2,12,189.968
10 Shot White Strobing Peony Cake,1,0,10,213.576
10 Shot White Strobing Peony Cake,3,2,12,213.576
54 Shot Strobing Varg Peony Cake Z Shape,0,2,6,223.544
54 Shot Strobing Varg Peony Cake Z Shape,4,0,7,223.544
12 Shot Crackling Gold Peony Cake,3,0,1,259.537
12 Shot Crackling Gold Peony Cake,1,2,7,265.218
12 Shot Crackling Gold Peony Cake,2,0,9,272.626
20 Shot Gold Waterfall Cake,1,2,9,284.663
20 Shot Gold Waterfall Cake,3,0,4,284.663
12 Shot Crackling Gold Peony Cake,2,0,10,285.619
12 Shot Crackling Gold Peony Cake,2,2,3,285.619
,2,1,5,296.03
Green Strobing Peony,2,0,15,300.776
50 Shot White Strobing Z Shape Cake,2,1,0,313.418
Varg Flame,2,1,12,341.919
Varg Flame,1,1,15,344.688
Varg Flame,3,1,15,347.302
Green Flame,0,1,11,349.788
Varg Flame,4,1,11,352.292
Varg Flame,0,2,13,354.907
Green Flame,4,0,14,357.385
10 Shot Red Strobing Peony Cake,1,1,11,359.358
10 Shot White Strobing Peony Cake,3,1,2,359.358
20 Shot Gold Waterfall Cake,1,2,1,392.319
20 Shot Gold Waterfall Cake,3,0,0,392.319
13 Shot Fan Crackling Crossette Cake,2,1,14,392.926
30 Shot Varg Ear Cake,1,0,12,408.902
30 Shot Varg Ear Cake,3,2,8,408.902
130 Shot Z Shape Rising Red Glittering Comet w/ Red Tail Cake,3,0,5,427.705
25 Shot Falling Leaves Cake,1,2,8,452.848
25 Shot Falling Leaves Cake,3,1,13,454.181
25 Shot Falling Leaves Cake,1,1,5,455.367
25 Shot Falling Leaves Cake,3,0,6,456.259
20 Shot Gold Horsetail Cake Fan,1,0,0,475.084
20 Shot Gold Horsetail Cake Fan,3,2,4,475.084
10 Shot Popcorn Crackle Chrys Cake,0,1,3,491.497
10 Shot Popcorn Crackle Chrys Cake,4,1,4,491.497
13 Shot Fan Crackling Crossette Cake,1,2,15,493.874
13 Shot Fan Crackling Crossette Cake,3,0,15,493.874
25 Shot Gold Mine To Gold Brocade Cake,2,0,2,530.604
Blue Comet,0,3,4,531.732
Blue Comet,4,3,11,531.732
Blue Comet,0,3,5,531.876
Blue Comet,4,3,12,531.876
Blue Comet,0,3,6,532.19
Blue Comet,4,3,13,532.19
Blue Comet,0,3,7,532.348
Blue Comet,4,3,14,532.348
Blue Comet,0,3,8,532.656
Blue Comet,4,3,15,532.656
Blue Comet,0,3,9,532.838
Blue Comet,4,4,0,532.838
Blue Comet,0,3,10,533.165
Blue Comet,4,4,1,533.165
Blue Comet,2,3,0,533.962
Blue Comet,2,3,1,533.962
Blue Comet,2,3,2,533.962
Blue Comet,2,3,3,533.962
48 Shot Glittering Bowtie Peony Cake,0,2,11,545.468
48 Shot Glittering Bowtie Peony Cake,4,0,4,545.468
10 Shot White Strobing Peony Cake,1,1,7,567.074
10 Shot White Strobing Peony Cake,3,1,0,567.074
,0,2,15,588.746
,4,0,15,588.746
9 Shot Gold Chrys Cake,3,1,5,677.208
25 Shot Red Glittering Peony Cake,1,1,2,713.594
16 Shot Purple Comet w/ Purple Tail Cake,1,1,9,742.609
9 Shot Gold Chrys Cake,3,0,13,743.141
16 Shot Purple Comet w/ Purple Tail Cake,2,2,8,743.635
16 Shot Purple Comet w/ Purple Tail Cake,4,0,0,744.661
16 Shot Purple Comet w/ Purple Tail Cake,3,1,12,745.735
16 Shot Purple Comet w/ Purple Tail Cake,4,2,3,746.691
16 Shot Purple Comet w/ Purple Tail Cake,0,2,4,747.692
16 Shot Purple Comet w/ Purple Tail Cake,2,0,4,748.503
16 Shot Purple Comet w/ Purple Tail Cake,0,0,7,749.106
130 Shot Z Shape Rising Red Glittering Comet Cake,0,0,5,776.756
130 Shot Z Shape Rising Red Glittering Comet Cake,4,2,9,776.756
149 Shot Varg Comet w/ Tail Cake Z Shape,0,1,7,806.53
149 Shot Varg Comet w/ Tail Cake Z Shape,4,1,5,806.53
25 Shot Gold Mine To Gold Brocade Cake,2,2,7,825.383
36 Shot Gold Strobing Peony Cake,1,1,14,838.774
36 Shot Gold Strobing Peony Cake,3,1,10,838.774
51 Shot Comet To Gold Brocade Cake Z Shape,0,0,1,852.381
51 Shot Comet To Gold Brocade Cake Z Shape,4,2,4,852.381
"3""",0,6,13,875.101
"3""",4,6,13,875.101
"3""",0,6,14,875.976
"3""",4,6,14,875.976
"3""",0,6,15,879.148
"3""",4,6,15,879.148
Gold Comet w/ Blue Mine,2,3,11,879.869
Gold Comet w/ Blue Mine,2,3,12,879.869
Gold Comet w/ Blue Mine,2,3,13,879.869
Gold Comet w/ Blue Mine,2,3,14,879.869
Gold Comet w/ Blue Mine,2,3,15,879.869
Gold Comet w/ Blue Mine,2,4,0,879.869
Gold Comet w/ Blue Mine,2,4,1,879.869
25 Shot Gold Mine To Gold Brocade Cake,2,0,11,892.962
13 Shot Gold Comet w/ Blue Mine Cake Fan,0,0,15,898.383
13 Shot Gold Comet w/ Blue Mine Cake Fan,4,2,15,898.383
Green Peony,0,5,0,900.986
Green Peony,0,5,1,901.319
Green Peony,4,5,0,901.653
Green Peony,4,5,1,901.986
36 Shot Popcorn Crackle Cake,0,2,3,908.316
36 Shot Popcorn Crackle Cake,4,0,5,908.316
Green Peony,0,5,2,909.862
Green Peony,4,5,2,910.196
Green Peony,0,5,3,918.716
Green Peony,4,5,3,918.716
Green Peony,0,5,4,923.984
Green Peony,0,5,5,924.317
Green Peony,4,5,4,924.651
Green Peony,4,5,5,924.984
Green Peony,0,5,6,925.385
Green Peony,0,5,7,925.718
Green Peony,4,5,6,926.052
Green Peony,4,5,7,926.185
Silver Comet,2,3,4,929.342
Silver Comet,2,3,5,929.342
Silver Comet,2,3,6,929.342
Silver Comet,2,3,7,929.342
Silver Comet,2,3,8,929.342
Silver Comet,2,3,9,929.342
Silver Comet,2,3,10,929.342
130 Shot Z Shape Rising Red Glittering Comet w/ Red Tail Cake,1,2,0,951.532
25 Shot Gold Mine To Gold Brocade Cake,2,2,1,979.743
9 Shot Gold Chrys Cake,1,2,2,993.377
Gold Comet,2,4,2,1032.909
Gold Comet,2,4,3,1032.909
Gold Comet,2,4,4,1032.909
Gold Comet,2,4,5,1032.909
Gold Comet,2,4,6,1032.909
Gold Comet,2,4,7,1032.909
Gold Comet,2,4,8,1032.909
20 Shot Gold Horsetail Cake Fan,1,0,9,1033.997
20 Shot Gold Horsetail Cake Fan,3,2,1,1033.997
9 Shot Cake Pink & Green Peony + White & Violet Peony + Blue & Gold Peony + Magenta & Green Peony + White & Violet Peony + Blue & Gold Peony + Green Peony + Red Peony + Chrysanthemum,2,1,2,1055.2
9 Shot Gold Chrys Cake,1,1,0,1063.725
Gold Comet w/ Blue Mine,1,3,4,1074.177
Gold Comet w/ Blue Mine,3,3,11,1074.177
Gold Comet w/ Blue Mine,1,3,5,1074.31
Gold Comet w/ Blue Mine,3,3,12,1074.31
Gold Comet w/ Blue Mine,1,3,6,1074.444
Gold Comet w/ Blue Mine,3,3,13,1074.444
Gold Comet w/ Blue Mine,1,3,7,1074.577
Gold Comet w/ Blue Mine,3,3,14,1074.577
