FIRING_HEADER_ROW,Time Cue Number,Ignition Event Time,Number Of Devices,Duration,Coordinates,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Effect Name,Caliber,Category,Angles,Position Name,Animation Description,Module Address,Slat Address,Pin Address,Firing Notes,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
FIRING_DATA_ROW,,0,1,0.05,-73.0 2.51 -7.0,,,0,3.02,Salute,"3""",Shells,,Cannon,Salute,0,4,8,,cannon,,,,,,,
FIRING_DATA_ROW,,0.464,1,23.89,-10.0 0.0 -7.0,,,0,0,130 Shot Z Shape Gold Glittering Comet w/ Tail Cake,"3""",Cakes,,Board 3,23.89s 130 Shot Z Shape Gold Glittering Comet w/ Tail Cake (13 Rows),0,3,1,,629 130 shot Z Gold Glitter Comets,,,,,,,
FIRING_DATA_ROW,,28.014,1,43.3,2.5 0.0 -7.0,,,0,3.55,9 Shot Green Blue Red Yellow Peony w/ Falling Leaves Center Cake,"5""",Cakes,1,Board 4,43.3s 9 Shot Green Blue Red Yellow Peony w/ Falling Leaves Core Cake (1 Row),1,0,0,,10030 Jellyfish Jamboree,,,,,,,
FIRING_DATA_ROW,,83.29,1,36,-10.0 0.0 -7.0,,,0,3.55,9 Shot Gold Chrys Cake,"5""",Cakes,,Board 3,36s 9 Shot Gold Chrysanthemum Cake (1 Row),0,3,3,,10003 Kamuro,,,,,,,
FIRING_DATA_ROW,,119.786,1,44,-22.5 0.0 -7.0,,,0,3.02,21 Shot Crackling Palm Cake,"3""",Cakes,,Board 2,44s 21 Shot Crackling Palm Cake (7 Rows),0,2,5,,10028 Electric Palms,,,,,,,
FIRING_DATA_ROW,,167.427,1,3.69,-61.0 2.71 -13.0,,,0,0,Bushy Gold Comet w/ Long Tail,"3""",Comets,1,Comet A,Gold Comet w/ Long Tail,1,4,0,,John's Comets 2020,,,,,,,
FIRING_DATA_ROW,,167.427,1,3.69,58.53 2.99 -13.0,,,0,0,Bushy Gold Comet w/ Long Tail,"3""",Comets,,Comet B,Gold Comet w/ Long Tail,0,4,0,,John's Comets 2020,,,,,,,
FIRING_DATA_ROW,,168.871,1,3.69,-61.0 2.71 -13.0,,,0,0,Bushy Gold Comet w/ Long Tail,"3""",Comets,1,Comet A,Gold Comet w/ Long Tail,1,4,1,,John's Comets 2020,,,,,,,
FIRING_DATA_ROW,,168.871,1,3.69,58.53 2.99 -13.0,,,0,0,Bushy Gold Comet w/ Long Tail,"3""",Comets,,Comet B,Gold Comet w/ Long Tail,0,4,1,,John's Comets 2020,,,,,,,
FIRING_DATA_ROW,,171.237,1,3.69,-61.0 2.71 -13.0,,,0,0,Bushy Gold Comet w/ Long Tail,"3""",Comets,1,Comet A,Gold Comet w/ Long Tail,1,4,2,,John's Comets 2020,,,,,,,
FIRING_DATA_ROW,,171.237,1,3.69,58.53 2.99 -13.0,,,0,0,Bushy Gold Comet w/ Long Tail,"3""",Comets,,Comet B,Gold Comet w/ Long Tail,0,4,2,,John's Comets 2020,,,,,,,
FIRING_DATA_ROW,,188.841,1,33.8,-10.0 0.0 -7.0,,,0,0,,"3""",Cakes,,Board 3,33.8s 12 Shot Purple Dahlia Cake (1 Row),0,3,6,,688 12 shot Purple Dahlia,,,,,,,
FIRING_DATA_ROW,,224.754,1,36.28,-22.5 0.0 -7.0,,,0,0,,"3""",Cakes,,Board 2,36.28s 12 Shot Brocade Crown Cake (1 Row),0,2,1,,479 12 Shot Brocade Crown,,,,,,,
FIRING_DATA_ROW,,262.136,1,24.23,15.0 0.0 -7.0,,,0,3.02,9 Shot Green Crackling Peony Cake,"3""",Cakes,1,Board 5,24.23s 9 Shot Green Crackling Peony Cake (1 Row),1,1,6,,10046,,,,,,,
FIRING_DATA_ROW,,283.775,1,24.23,-22.5 0.0 -7.0,,,0,3.02,9 Shot Lemon Crackling Peony Cake,"3""",Cakes,,Board 2,24.23s 9 Shot Lemon Crackling Peony Cake (1 Row),0,2,2,,10044,,,,,,,
FIRING_DATA_ROW,,311.249,1,20.5,40.0 0.0 -7.0,,,0,0,50 Shot Gold Waterfall Cake Z Shape,"3""",Cakes,1,Board 7,20.5s 50 Shot Gold Waterfall Cake Z Shape (10 Rows),1,3,3,,611 90s Z Brocade Horsetail,,,,,,,
FIRING_DATA_ROW,,333.126,1,20.5,-46.92 0.0 -7.0,,,0,0,50 Shot Gold Waterfall Cake Z Shape,"3""",Cakes,,Board 0,20.5s 50 Shot Gold Waterfall Cake Z Shape (10 Rows),0,0,0,,611 90s Z Brocade Horsetail,,,,,,,
FIRING_DATA_ROW,,355.237,1,31.4,2.5 0.0 -7.0,,,0,3.02,10 Shot Strobing Red Peony Cake,"3""",Cakes,1,Board 4,31.4s 10 Shot Strobing Red Peony Cake (1 Row),1,0,6,,gm488 10s super red strobe,,,,,,,
FIRING_DATA_ROW,,398.631,1,28.63,-35.6 0.0 -7.0,,,0,3.02,36 Shot Blue Peony Cake,"3""",Cakes,,Board 1,28.63s 36 Shot Blue Peony Cake (6 Rows),0,1,2,,gm249,,,,,,,
FIRING_DATA_ROW,,403.091,1,28.63,27.5 0.0 -7.0,,,0,3.02,36 Shot Blue Peony Cake,"3""",Cakes,1,Board 6,28.63s 36 Shot Blue Peony Cake (6 Rows),1,2,6,,gm249,,,,,,,
FIRING_DATA_ROW,,432.911,1,49.63,15.0 0.0 -7.0,,,0,3.02,26 Shot Blue Glittering Peony Cake,"3""",Cakes,1,Board 5,49.63s 26 Shot Blue Glittering Peony Cake (6 Rows),1,1,5,,It's a Buck,,,,,,,
FIRING_DATA_ROW,,442.469,1,49.63,-22.5 0.0 -7.0,,,0,3.02,26 Shot Blue Glittering Peony Cake,"3""",Cakes,,Board 2,49.63s 26 Shot Blue Glittering Peony Cake (6 Rows),0,2,4,,It's a Buck,,,,,,,
FIRING_DATA_ROW,,490.785,1,16.42,27.5 0.0 -7.0,,,0,3.02,80 Shot Blue Falling Leaves Shell To Blue Bees Cake Z Shape,"3""",Cakes,1,Board 6,16.42s 80 Shot Blue Falling Leaves Shell To Blue Bees Cake Z Shape (10 Rows),1,2,1,,Blue Blitz,,,,,,,
FIRING_DATA_ROW,,490.785,1,16.42,-35.6 0.0 -7.0,,,0,3.02,80 Shot Blue Falling Leaves Shell To Blue Bees Cake Z Shape,"3""",Cakes,,Board 1,16.42s 80 Shot Blue Falling Leaves Shell To Blue Bees Cake Z Shape (10 Rows),0,1,4,,Blue Blitz,,,,,,,
FIRING_DATA_ROW,,510.631,1,6,-10.0 0.0 -7.0,,,0,1,36 Shot Blue Peony Cake,"3""",Cakes,,Board 3,6s 36 Shot Blue Peony Cake Z Shape (6 Rows),0,3,4,,36 Shot Blue Peony (8 second),,,,,,,
FIRING_DATA_ROW,,517.63,1,6,-46.92 0.0 -7.0,,,0,1,36 Shot Blue Peony Cake,"3""",Cakes,,Board 0,6s 36 Shot Blue Peony Cake Z Shape (6 Rows),0,0,1,,36 Shot Blue Peony (8 second),,,,,,,
FIRING_DATA_ROW,,524.67,1,6,40.0 0.0 -7.0,,,0,1,36 Shot Blue Peony Cake,"3""",Cakes,1,Board 7,6s 36 Shot Blue Peony Cake Z Shape (6 Rows),1,3,1,,36 Shot Blue Peony (8 second),,,,,,,
FIRING_DATA_ROW,,538.855,1,30,15.0 0.0 -7.0,,,0,0,Varg Flame,"3""",Other,1,Board 5,Variegated Flame Projector,1,1,11,,10000,,,,,,,
FIRING_DATA_ROW,,540.855,1,30,27.5 0.0 -7.0,,,0,0,Varg Flame,"3""",Other,1,Board 6,Variegated Flame Projector,1,2,7,,10000,,,,,,,
FIRING_DATA_ROW,,542.855,1,30,-35.6 0.0 -7.0,,,0,0,Varg Flame,"3""",Other,,Board 1,Variegated Flame Projector,0,1,7,,10000,,,,,,,
FIRING_DATA_ROW,,544.855,1,30,-22.5 0.0 -7.0,,,0,0,Varg Flame,"3""",Other,,Board 2,Variegated Flame Projector,0,2,11,,10000,,,,,,,
FIRING_DATA_ROW,,546.855,1,30,-10.0 0.0 -7.0,,,0,0,Varg Flame,"3""",Other,,Board 3,Variegated Flame Projector,0,3,8,,10000,,,,,,,
FIRING_DATA_ROW,,548.855,1,30,2.5 0.0 -7.0,,,0,0,Varg Flame,"3""",Other,1,Board 4,Variegated Flame Projector,1,0,1,,10000,,,,,,,
FIRING_DATA_ROW,,550.574,1,36,15.0 0.0 -7.0,,,0,3.55,9 Shot Gold Chrys Cake,"5""",Cakes,1,Board 5,36s 9 Shot Gold Chrysanthemum Cake (1 Row),1,1,9,,10003 Kamuro,,,,,,,
FIRING_DATA_ROW,,586.583,1,43.3,-22.5 0.0 -7.0,,,0,3.55,9 Shot Green Blue Red Yellow Peony w/ Falling Leaves Center Cake,"5""",Cakes,,Board 2,43.3s 9 Shot Green Blue Red Yellow Peony w/ Falling Leaves Core Cake (1 Row),0,2,8,,10030 Jellyfish Jamboree,,,,,,,
FIRING_DATA_ROW,,630.278,1,43.3,15.0 0.0 -7.0,,,0,3.55,9 Shot Green Blue Red Yellow Peony w/ Falling Leaves Center Cake,"5""",Cakes,1,Board 5,43.3s 9 Shot Green Blue Red Yellow Peony w/ Falling Leaves Core Cake (1 Row),1,1,2,,10030 Jellyfish Jamboree,,,,,,,
FIRING_DATA_ROW,,680.351,1,42,-46.92 0.0 -7.0,,,0,2.02,25 Shot Ear Shape Chrys Cake,"3""",Cakes,,Board 0,42s 25 Shot Ear Chrysanthemum Cake (5 Rows),0,0,2,,645 25s Z Brocade Waterfall,,,,,,,
FIRING_DATA_ROW,,683.709,1,42,40.0 0.0 -7.0,,,0,2.02,25 Shot Ear Shape Chrys Cake,"3""",Cakes,1,Board 7,42s 25 Shot Ear Chrysanthemum Cake (5 Rows),1,3,0,,645 25s Z Brocade Waterfall,,,,,,,
FIRING_DATA_ROW,,721.209,1,49.63,15.0 0.0 -7.0,,,0,3.02,26 Shot Blue Glittering Peony Cake,"3""",Cakes,1,Board 5,49.63s 26 Shot Blue Glittering Peony Cake (6 Rows),1,1,4,,It's a Buck,,,,,,,
FIRING_DATA_ROW,,768.981,1,30.78,27.5 0.0 -7.0,,,0,3.02,10 Shot White Strobing Peony Cake,"3""",Cakes,1,Board 6,30.78s 10 Shot White Strobing Peony Cake (1 Row),1,2,5,,487 Super Silver Flash,,,,,,,
FIRING_DATA_ROW,,801.879,1,29,2.5 0.0 -7.0,,,0,0,130 Shot Z Shape Rising Red Glittering Comet w/ Red Tail Cake,"3""",Cakes,1,Board 4,29s 130 Shot Z Shape Rising Red Glittering Comet w/ Red Tail Cake (13 Rows),1,0,2,,687 130 shot Z shape red glitter comets,,,,,,,
FIRING_DATA_ROW,,832.787,1,22.84,-35.6 0.0 -7.0,,,0,3.02,48 Shot Glittering Bowtie Peony Cake,"3""",Cakes,,Board 1,22.84s 48 Shot Glittering Bowtie Peony Cake (8 Rows),0,1,0,,opposing forces,,,,,,,
