FIRING_HEADER_ROW,Ignition Event Time,Number Of Devices,Duration,Device Delay,Prefire Delay,Effect Name,Caliber,Position Name,Animation Description,Angles,Module Address,Slat Address,Pin Address,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
FIRING_DATA_ROW,0,1,18.32,0,3.02,30 Shot Gold Mine To Brocade Crown Cake Z Shape,"3""",Board 11,18.32s 30 Shot Gold Mine To Brocade Crown Z Shape Cake (6 Rows),4,4,3,4,GM585A,,,,,,,
FIRING_DATA_ROW,17.864,1,25.58,0,3.02,36 Shot Glittering Varg Dahlia Cake,"3""",Board 8,25.58s 30 Shot Glittering Variegated Dahlia Cake (6 Rows),3,3,3,8,Skyscraper,,,,,,,
FIRING_DATA_ROW,17.864,1,25.58,0,3.02,36 Shot Glittering Varg Dahlia Cake,"3""",Board 13,25.58s 30 Shot Glittering Variegated Dahlia Cake (6 Rows),4,4,5,8,Skyscraper,,,,,,,
FIRING_DATA_ROW,44.447,1,31,0,0,704 Shot Varg Comet w/ Dragon Eggs Cake Z Shape,"3""",Board 12,31s 704 Shot Variegated Comet w/ Dragon Eggs Cake Z Shape (32 Rows),4,4,4,9,Megablaster,,,,,,,
FIRING_DATA_ROW,76.612,1,20.02,0,3.02,25 Shot Neon Pink Neon Orange Neon Yellow Mine To Neon Pink Neon Orange Neon Yellow Crackling Dahlia Fan,"3""",Board 11,20.02s 25 Shot Pink Orange Yellow Mine To Pink Orange Yellow Crackling Dahlia Fan (5 Rows),4,4,3,7,Neon Skies,,,,,,,
FIRING_DATA_ROW,101.177,1,30,0,3.02,10 Shot Red Strobing Peony Cake,"3""",Board 12,30s 10 Shot Red Strobing Peony Cake (1 Row),4,4,4,0,GM488 Super Red Flash,,,,,,,
FIRING_DATA_ROW,137.185,1,13.5,0,0,20 Shot Blue & Silver Glitter Comet Cake Fan,"3""",Board 13,13.5s 20 Shot Blue & Silver Glittering Comet Cake Fan (4 Rows),4,4,5,10,GM902,,,,,,,
FIRING_DATA_ROW,156.032,1,13.5,0,0,20 Shot Blue & Silver Glitter Comet Cake Fan,"3""",Board 8,13.5s 20 Shot Blue & Silver Glittering Comet Cake Fan (4 Rows),3,3,3,4,GM902,,,,,,,
FIRING_DATA_ROW,188.85,1,20,0,0,20 Shot Orange Crossette Cake,"3""",Board 10,20s 20 Shot Orange Crossette Cake (5 Rows),3,3,5,2,20s Orange Crossette,,,,,,,
FIRING_DATA_ROW,188.85,1,20,0,0,20 Shot Orange Crossette Cake,"3""",Board 12,20s 20 Shot Orange Crossette Cake (5 Rows),4,4,4,6,20s Orange Crossette,,,,,,,
FIRING_DATA_ROW,199.16,1,59,0,3.02,36 Shot Strobing Peony w/ Pistil Cake,"3""",Board 10,59s 36 Shot Strobing Variegated Peony w/ Horsetail Cake (6 Rows),3,3,5,9,Sky Treats,,,,,,,
FIRING_DATA_ROW,263.05,1,27,0,0,156 Shot Red White Blue Strobing Comet To Coconut Shells Cake Z Shape,"3""",Board 9,27s 156 Shot Red White Blue Strobing Comet Z Shape Cake (13 Rows),3,3,4,6,party like its 1776,,,,,,,
FIRING_DATA_ROW,293.777,1,42,0,2.02,25 Shot Ear Shape Chrys Cake,"3""",Board 13,42s 25 Shot Ear Chrysanthemum Cake (5 Rows),4,4,5,2,645 25s Z Brocade Waterfall,,,,,,,
FIRING_DATA_ROW,333.379,1,42,0,2.02,25 Shot Ear Shape Chrys Cake,"3""",Board 8,42s 25 Shot Ear Chrysanthemum Cake (5 Rows),3,3,3,7,645 25s Z Brocade Waterfall,,,,,,,
FIRING_DATA_ROW,411.081,1,23,0,2.45,20 Shot Gold Horsetail Cake Fan,"3""",Board 9,23s 20 Shot Gold Horsetail Cake Z Shape (5 Rows),3,3,4,4,421 20s Waterfall/Horsetail,,,,,,,
FIRING_DATA_ROW,434.027,1,30,0,3.02,10 Shot Red Strobing Peony Cake,"3""",Board 9,30s 10 Shot Red Strobing Peony Cake (1 Row),3,3,4,10,GM488 Super Red Flash,,,,,,,
FIRING_DATA_ROW,463.539,1,33.8,0,0,,"3""",Board 13,33.8s 12 Shot Purple Dahlia Cake (1 Row),4,4,5,9,688 12 shot Purple Dahlia,,,,,,,
FIRING_DATA_ROW,490.951,1,23,0,2.45,20 Shot Gold Horsetail Cake Fan,"3""",Board 12,23s 20 Shot Gold Horsetail Cake Z Shape (5 Rows),4,4,4,8,421 20s Waterfall/Horsetail,,,,,,,
FIRING_DATA_ROW,517.912,1,42,0,2.02,25 Shot Ear Shape Chrys Cake,"3""",Board 12,42s 25 Shot Ear Chrysanthemum Cake (5 Rows),4,4,4,2,645 25s Z Brocade Waterfall,,,,,,,
FIRING_DATA_ROW,559.704,1,42,0,2.02,25 Shot Ear Shape Chrys Cake,"3""",Board 9,42s 25 Shot Ear Chrysanthemum Cake (5 Rows),3,3,4,5,645 25s Z Brocade Waterfall,,,,,,,
FIRING_DATA_ROW,601.984,1,33.8,0,0,,"3""",Board 10,33.8s 12 Shot Purple Dahlia Cake (1 Row),3,3,5,7,688 12 shot Purple Dahlia,,,,,,,
FIRING_DATA_ROW,634.907,1,40.5,0,3.02,10 Shot Popcorn Crackle Chrys Cake,"3""",Board 11,40.5s 10 Shot Popcorn Crackle Chrysanthemum Cake (1 Row),4,4,3,8,690 12s Double Timerain Crackle,,,,,,,
FIRING_DATA_ROW,763.317,1,44,0,3.02,21 Shot Crackling Palm Cake,"3""",Board 10,44s 21 Shot Crackling Palm Cake (7 Rows),3,3,5,4,10028 Electric Palms,,,,,,,
FIRING_DATA_ROW,806.469,1,22,0,0,49 Shot Red To Green To Blue Crossette Cake,"5""",Board 11,22s 49 Shot Red To Green To Blue Crossette Cake (7 Rows),4,4,3,6,10017 Colorful World of Crossettes,,,,,,,
FIRING_DATA_ROW,806.469,1,22,0,0,49 Shot Red To Green To Blue Crossette Cake,"5""",Board 10,22s 49 Shot Red To Green To Blue Crossette Cake (7 Rows),3,3,5,10,10017 Colorful World of Crossettes,,,,,,,
FIRING_DATA_ROW,827.688,1,38.01,0,3.02,48 Shot Gold Mine To Gold Coconut Shell Cake,"3""",Board 10,38.01s 48 Shot Gold Mine To Gold Coconut Shell Cake (8 Rows),3,3,5,5,rolled gold,,,,,,,
