FIRING_HEADER_ROW,Time Cue Number,Ignition Event Time,Number Of Devices,Duration,Coordinates,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Effect Name,Caliber,Category,Angles,Position Name,Animation Description,Module,Socket,Slat Address,Cue,Firing Notes,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
FIRING_DATA_ROW,,0,1,40.5,80.000000 0.000000 -8.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,,,0,3.02,10 Shot Popcorn Crackle Chrys Cake,"3""",Cakes,,Board 11,40.5s 10 Shot Popcorn Crackle Chrysanthemum Cake (1 Row),2,3,,1,,690 12s Double Timerain Crackle,,,,,,,
FIRING_DATA_ROW,,0,1,0,25.000000 0.000000 -8.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,,,0,0,13 Shot Gold Comet w/ Varg Mine Cake Fan,"5""",Cakes,,Board 6,0s 13 Shot Gold Comet w/ Blue & Green Mine Fnl Fan Cake (1 Row),1,2,,11,,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),,,,,,,
FIRING_DATA_ROW,,1.024,1,26,-37.500000 0.000000 -8.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,,,0,3.02,27 Shot Red White Blue Peony Cake W Shape,"3""",Cakes,,Board 1,26s 27 Shot Red White Blue Peony Cake W Shape (5 Rows),0,1,,5,,GM436 27shot RWB Peony,,,,,,,
FIRING_DATA_ROW,,21.224,1,0,25.000000 0.000000 -8.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,,,0,0,13 Shot Gold Comet w/ Varg Mine Cake Fan,"5""",Cakes,,Board 6,0s 13 Shot Gold Comet w/ Blue & Green Mine Fnl Fan Cake (1 Row),1,2,,12,,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),,,,,,,
FIRING_DATA_ROW,,28.383,1,1.83,-59.000000 0.000000 -28.000000 0.000000 0.000000 0.000000 90.000000 0.000000 0.000000,,,0,3.02,Gold Coconut Shell,"3""",Shells,,50 Rack A,Gold Coconut Shell,3,6,,9,,Mortar Gold Coconut,,,,,,,
FIRING_DATA_ROW,,31.416,1,1.83,-59.000000 0.000000 -28.000000 0.000000 0.000000 0.000000 90.000000 0.000000 0.000000,,,0,3.02,Gold Coconut Shell,"3""",Shells,,50 Rack A,Gold Coconut Shell,3,6,,10,,Mortar Gold Coconut,,,,,,,
FIRING_DATA_ROW,,39.093,1,5.15,-12.500000 0.000000 -8.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,,,0,0,225 Shot Varg Comet To Tourbillion Cake,"3""",Cakes,,Board 3,5.15s 225 Shot Variegated Comet To Tourbillions Cake (15 Rows),0,3,,8,,TM103,,,,,,,
FIRING_DATA_ROW,,39.093,1,5.15,50.000000 0.000000 -8.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,,,0,0,225 Shot Varg Comet To Tourbillion Cake,"3""",Cakes,,Board 8,5.15s 225 Shot Variegated Comet To Tourbillions Cake (15 Rows),2,0,,7,,TM103,,,,,,,
FIRING_DATA_ROW,,52.254,1,1.83,-59.000000 0.000000 -28.000000 0.000000 0.000000 0.000000 90.000000 0.000000 0.000000,,,0,3.02,Gold Coconut Shell,"3""",Shells,,50 Rack A,Gold Coconut Shell,3,6,,8,,Mortar Gold Coconut,,,,,,,
FIRING_DATA_ROW,,53.546,1,26,70.000000 0.000000 -8.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000,,,0,3.02,27 Shot Red White Blue Peony Cake W Shape,"3""",Cakes,,Board 10,26s 27 Shot Red White Blue Peony Cake W Shape (5 Rows),2,2,,1,,GM436 27shot RWB Peony,,,,,,,
