FIRING_HEADER_ROW,Time Cue Number,Ignition Event Time,Number Of Devices,Duration,Coordinates,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Effect Name,Caliber,Category,Angles,Position Name,Animation Description,Module Description,Module Address,Slat Address,Pin Address,Firing Notes,Product ID,Manufacturer Product ID,Animation ID,Location Primary,Location Secondary,Price Per Device,Mortar Caliber,Track Identifier
,,0,,,,,,,,Description Here,,,,,,,0,0,0,,,,,,,,,
,,0.25,,,,,,,,Description Here,,,,,,,1,0,0,,,,,,,,,
,,0.5,,,,,,,,Description Here,,,,,,,2,0,0,,,,,,,,,
,,0.75,,,,,,,,Description Here,,,,,,,3,0,0,,,,,,,,,
,,1,,,,,,,,Description Here,,,,,,,4,0,0,,,,,,,,,
,,1.25,,,,,,,,Description Here,,,,,,,5,0,0,,,,,,,,,
,,1.5,,,,,,,,Description Here,,,,,,,0,0,1,,,,,,,,,
,,1.75,,,,,,,,Description Here,,,,,,,1,0,1,,,,,,,,,
,,2,,,,,,,,Description Here,,,,,,,2,0,1,,,,,,,,,
,,2.25,,,,,,,,Description Here,,,,,,,3,0,1,,,,,,,,,
,,2.5,,,,,,,,Description Here,,,,,,,4,0,1,,,,,,,,,
,,2.75,,,,,,,,Description Here,,,,,,,5,0,1,,,,,,,,,
,,3,,,,,,,,Description Here,,,,,,,0,0,2,,,,,,,,,
,,3.25,,,,,,,,Description Here,,,,,,,1,0,2,,,,,,,,,
,,3.5,,,,,,,,Description Here,,,,,,,2,0,2,,,,,,,,,
,,3.75,,,,,,,,Description Here,,,,,,,3,0,2,,,,,,,,,
,,4,,,,,,,,Description Here,,,,,,,4,0,2,,,,,,,,,
,,4.25,,,,,,,,Description Here,,,,,,,5,0,2,,,,,,,,,
,,4.5,,,,,,,,Description Here,,,,,,,0,7,15,,,,,,,,,
,,4.75,,,,,,,,Description Here,,,,,,,1,7,15,,,,,,,,,
,,5,,,,,,,,Description Here,,,,,,,2,7,15,,,,,,,,,
,,5.25,,,,,,,,Description Here,,,,,,,3,7,15,,,,,,,,,
,,5.5,,,,,,,,Description Here,,,,,,,4,7,15,,,,,,,,,
,,5.75,,,,,,,,Description Here,,,,,,,5,7,15,,,,,,,,,
